"investorTimes","investorDirections"
1405,1
4586,0
10666,1
15377,0
16192,0
16757,0
18863,1
19368,0
19775,0
20344,1
26631,0
28769,1
30772,1
30863,1
34539,1
36641,1
38099,1
38528,1
46822,1
49699,1
50905,0
54297,1
55310,1
67266,0
69735,0
71955,0
72374,1
73900,1
74355,0
74609,1
75351,1
80921,1
86134,1
88099,1
90005,1
97300,1
100165,1
102458,1
104181,0
104190,1
107804,0
110349,0
110587,1
116090,0
118162,1
119158,0
120493,1
121896,0
122509,0
128311,0
129204,0
130534,0
131763,1
133176,1
133706,0
135425,1
136045,1
136468,0
138008,1
139097,0
143430,1
144145,1
146082,0
146999,1
147541,0
152308,1
158847,1
160102,0
162096,1
165619,1
167678,0
169495,0
170362,0
171452,0
173466,0
174380,1
179381,0
182428,0
184503,0
186111,1
194454,1
194779,0
194989,0
202125,0
208092,0
208792,1
210546,1
220749,1
222635,1
225324,1
226042,1
231379,1
237411,0
237771,1
242021,0
242101,1
245080,0
246279,1
251016,1
251889,1
261283,0
264574,1
265474,0
267788,1
274701,0
276770,1
276841,0
288985,0
291987,0
297431,1
297958,1
