"investorTimes","investorDirections"
1255,1
4898,0
6405,1
9779,0
16998,1
18135,1
23472,1
28261,1
29143,0
31231,0
35815,1
36644,1
37398,1
41101,0
46977,0
48166,1
49901,0
58220,1
59535,0
62999,1
67070,1
77658,1
79077,1
79419,0
82226,1
88192,1
90879,1
94605,1
98918,1
102298,1
102664,0
112251,0
114068,0
120319,0
121797,1
122072,0
128668,1
129551,0
129621,1
130509,1
136202,1
139171,1
142571,1
143062,1
154201,0
158404,1
162558,1
162876,0
163709,0
165291,1
169621,1
173565,0
177311,1
177459,1
178260,0
178508,1
179515,0
180105,0
180241,0
181527,1
185625,1
190924,0
192288,0
198128,1
200285,0
203045,0
205925,0
207525,0
208315,1
214110,1
217353,0
219864,1
221918,1
223184,0
224835,1
225001,0
226290,0
229842,1
234632,0
237241,0
237736,0
239124,0
239407,1
252596,1
254880,0
256139,0
259922,1
261497,1
261791,0
262404,0
272070,1
274300,1
274591,1
274965,0
282379,0
283850,1
289638,0
290709,1
291199,0
291252,0
293639,0
296586,0
