"investorTimes","investorDirections"
6813,1
15894,0
17391,1
18737,0
19196,0
24694,1
36933,1
37731,0
40508,0
40541,0
42193,1
45157,1
46417,1
48576,0
51426,0
52248,1
55155,1
57856,0
58834,1
58914,1
59167,0
61340,1
68848,0
71836,0
73097,1
85640,1
89071,1
89641,1
93496,1
98617,1
99328,0
103471,1
104509,1
107369,0
113924,0
114656,1
114971,1
117153,1
125808,0
132149,1
132657,1
136463,1
137526,1
149329,1
150506,1
150877,0
152138,1
153095,0
153907,1
157125,0
157463,1
163150,1
164025,1
168786,1
168921,0
171242,1
179635,0
182227,0
183314,1
183579,1
184574,0
187383,1
194182,1
200978,0
201152,1
208175,0
214767,0
219285,0
220140,0
220478,1
220946,0
221775,1
223273,0
226623,0
227498,0
235753,1
240292,1
249308,1
254600,1
259963,1
261138,1
266135,0
268609,1
268674,1
269255,1
276135,0
278375,0
282121,0
282470,0
283700,1
284178,1
284731,1
287699,0
288181,0
288737,1
290546,0
293731,0
299551,1
