"investorTimes","investorDirections"
6330,0
6868,0
7987,1
13750,1
15785,1
18011,1
22555,0
28156,0
34539,0
34959,0
36284,0
36289,1
40762,1
47444,0
51837,1
56160,0
60157,0
61560,0
64883,1
66964,0
70741,1
77731,1
78556,0
82544,0
85885,1
86612,0
87689,1
97120,1
97529,1
101725,0
103660,1
107356,1
107836,1
110675,0
110883,1
111820,1
114673,0
115274,0
117704,0
120949,1
123643,1
131940,1
141543,1
143424,1
145394,0
147183,1
148380,0
148423,0
155413,1
155633,1
167146,0
169692,0
172474,0
173333,0
173993,1
177654,1
181799,1
186550,0
187389,1
193536,0
194804,1
196720,1
203631,1
204308,0
207233,0
212309,0
217194,0
217760,1
220368,0
220974,0
227529,1
235112,1
237968,0
239976,0
245005,1
245745,1
249213,0
252517,0
254597,0
258646,1
260956,1
264252,1
268564,0
270643,0
277900,0
281195,0
282148,0
284497,0
287699,0
288105,0
296030,0
