"investorTimes","investorDirections"
2517,1
4383,0
10111,1
14265,0
17108,0
17906,1
21100,0
23276,0
26327,1
28767,1
34216,1
35774,1
40524,0
43772,0
46077,0
51303,1
56935,0
58496,1
73915,0
75546,0
77349,0
85151,1
85277,0
85815,1
88330,0
90597,0
90706,1
95474,0
96832,0
97056,0
99220,1
100628,0
106393,0
106734,1
107494,1
109158,0
111162,0
114902,1
115750,1
117321,0
117507,0
120690,1
125107,1
125588,1
130827,1
132792,0
134541,1
136042,0
138143,1
139274,1
142638,1
143717,1
144005,1
144381,1
146718,0
150493,1
151197,1
153134,0
156899,0
162919,0
163127,0
163387,0
164362,0
164577,0
167486,0
168592,1
169040,0
177161,1
181363,0
186563,0
187284,1
194462,0
195344,0
195890,0
198560,0
202779,1
207162,0
209087,1
213433,1
213860,1
214803,1
218000,0
220766,1
221818,0
222701,1
223116,0
224838,1
225077,1
228473,1
228879,0
232515,0
233867,0
239258,0
239582,0
240955,0
244022,0
244625,1
247964,0
248216,1
251580,1
266555,0
266645,0
267549,0
277115,0
277757,0
285274,0
286975,1
287625,1
288841,0
289656,1
292954,1
294735,1
298164,1
