"investorTimes","investorDirections"
5408,0
7342,0
7448,1
23994,0
32114,0
32520,0
34869,0
40291,1
42719,1
50562,1
52488,0
56844,0
67622,0
70206,0
74558,1
85133,1
90550,0
90931,1
91890,1
97663,1
103492,0
104279,0
108283,0
110379,0
112488,0
114913,1
118329,1
118329,0
121085,0
129551,1
132035,0
140686,0
143098,1
144372,0
146027,0
147970,0
150977,0
152889,0
154014,1
154151,1
154936,0
161189,1
167287,1
170308,1
173894,0
174301,0
183637,1
187787,0
188764,1
193223,1
195280,1
196067,0
199748,1
200295,0
202603,0
203162,0
208059,0
211424,0
214745,1
221484,1
223880,1
224228,0
227548,0
228779,1
231852,1
238581,0
240491,0
241275,1
244121,1
246324,0
246442,0
246464,0
246816,0
246935,1
253905,0
255456,0
257751,0
262320,1
266611,1
266614,0
272220,1
272336,1
273854,1
274245,1
275028,1
275214,0
282896,0
284782,0
284869,0
285649,0
288052,0
288789,0
296079,0
