"investorTimes","investorDirections"
2552,0
6880,1
7028,0
12963,1
13668,1
23284,1
26019,0
31582,0
32540,1
32576,0
33438,0
33965,1
42408,1
50762,1
51636,1
52739,1
55298,0
55572,1
70404,0
72296,1
81118,1
83806,1
85605,0
87797,1
92718,0
93350,0
98696,1
100361,0
104229,0
104492,1
105258,0
105804,1
108433,0
109119,1
116833,0
118689,0
124118,1
124428,1
127540,1
132694,1
132822,1
133010,0
133489,1
135319,1
135337,1
138919,1
139284,0
142763,0
142815,0
143157,0
147973,0
149885,1
164951,0
168081,0
169884,1
176738,1
178340,1
186114,1
187214,1
189035,0
192031,1
195136,0
195425,0
199672,0
200812,0
203815,0
206370,1
216381,0
220493,1
224647,1
227310,0
229160,1
235889,0
241344,1
250839,1
256016,1
258865,1
259789,0
261068,1
261254,1
262693,0
264208,0
265811,1
270673,0
271443,1
272621,0
283862,0
284803,1
284967,0
288156,0
297639,0
