"jumpTimes","jumpSizes"
0,100
10253,99.941860200861
12718,98.3125961429215
15594,98.0994820968727
17759,97.9290024915466
23040,97.8705645612559
26470,97.1964694264588
27334,97.0075674666668
30908,97.3754854952492
30922,97.282097520814
34406,96.7402472993887
36856,96.2998308641924
38633,95.6122273480737
41104,95.3863205891114
46277,95.4531960594505
48363,95.2124633150685
48920,95.2311285533803
55159,94.9799909726504
58049,94.6080821046422
58755,94.6427712585426
62407,95.3347954167287
69961,95.7925795505238
70078,96.4847296009983
70143,97.0440469677662
81014,97.5581444368493
81878,97.7291094475761
86332,97.6485267505777
88432,97.9554129866361
90994,97.5315140139037
93522,97.5319642243778
97057,98.6172700689161
99957,98.0643955694686
100753,97.5735415166624
100767,98.1524052317639
101711,97.7158510701682
105287,96.3237649819292
107628,96.6616663675554
116501,96.0924216808111
118112,95.6434961797748
123688,95.1844248735353
123771,94.9301919675511
128757,94.8547412262521
141126,94.9076104108224
141293,95.4932870714941
145706,95.437646972141
146694,95.6794327861141
147488,96.5610877583569
149455,95.9388324915316
149999,96.547757930574
159753,96.5656752288213
167770,96.6812869339232
168284,96.8961341970424
170024,97.0272785366456
179365,96.9045814775591
181983,96.7098747368365
183597,96.7704509637376
186890,97.4338837709697
188515,97.7974008750688
196491,97.8888394329227
199751,98.3198908091606
200828,98.6689965896691
203489,99.9098688712057
206174,100.170774855924
208143,100.192221732798
212308,100.389357449066
213967,99.6043767582935
219193,99.4578991733367
230503,98.9059203695143
231348,98.4516576502781
231548,98.1490792356799
243928,98.7784697122745
250393,98.5972556469288
263281,99.2707077806134
263554,98.5870665107299
269222,98.2193491705142
273408,98.0037982605803
278526,97.3630781099451
283241,97.4689165499655
288084,98.2106043368944
288362,98.862940287503
294178,99.0475317151528
