"jumpTimes","jumpSizes"
0,100
1344,99.7192850226303
6850,99.8040973311666
8836,100.002570714396
13151,100.168260479254
15920,100.318479140731
18154,100.997360450588
18832,100.932845448676
20306,100.70670424578
21640,101.290755036499
22496,101.381679551616
28619,101.563023359597
29211,101.477635274083
31240,101.253314390085
31459,101.368794756589
34760,101.413910571416
47579,101.252384454524
48988,101.929533328825
53229,102.075573247405
59559,101.923036568379
61200,101.072492453229
71802,101.278745488598
72566,101.974231526156
82051,102.74843653972
88729,102.360346810648
93407,102.338473383046
96099,102.555844355605
97139,102.329373641476
103326,101.924718053736
107751,101.202583845659
107767,102.060983779292
109941,102.37717253329
111351,102.468644615347
118394,102.590355847884
119009,102.906467052296
119039,103.157187042518
121896,102.7675543428
142425,103.133573613204
143499,102.521822679102
145687,102.65886893506
148477,102.086111064451
166540,101.51422182587
167426,101.693750751651
167915,101.516229447254
179329,101.065828864412
181432,100.870140133304
193586,100.369330255577
195541,100.152349055627
196048,100.486350925834
197758,99.9295906488993
211745,100.472522576138
212912,101.556434744944
216827,101.894128714083
221274,102.634609963644
225048,102.96328767665
225462,103.614895018033
226296,103.561048536263
228812,103.573312601683
230326,103.335179732482
231889,102.928759217009
235474,103.102383894711
235629,102.331896100221
237359,101.984713569143
245067,102.408805731284
250711,102.229084779611
250972,101.791081214855
251010,101.142688414699
254779,100.681158842035
259843,100.204766917985
260131,99.6357271283036
260772,98.7623463373865
273768,98.751206185733
282058,98.678285715325
293968,98.840260645057
